Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.01,1,4297.0433161980045,388.15898322412914,True,0.00481311,ok
0.01,2,5928.2234914256605,284.804,True,9.06843e-06,ok
0.01,3,7551.210563289618,213.11799228104275,True,9.79748e-06,ok
0.01,4,9577.429083550927,152.93501018276748,True,1.95179e-05,ok
0.01,5,11374.000000894004,105.42999998658996,True,3.15092e-08,ok
0.01,6,13169.6,80.8901,True,1.24744e-11,ok
0.01,7,15587.3,67.6474,True,1.98459e-13,ok
0.01,8,18803.8,58.9855,True,1.93139e-13,ok
0.01,9,22907.3,52.6223,True,8.64653e-14,ok
0.01,10,27986.5,47.6333,True,7.87193e-15,ok
0.01,11,34140.4,43.5658,True,1.51453e-13,ok
0.01,12,41477.3,40.1637,True,3.86168e-13,ok
0.01,13,50114.4,37.2661,True,1.44547e-13,ok
0.01,14,60176.0,34.7643,True,1.92879e-13,ok
0.01,15,71793.3,32.5803,True,2.20964e-13,ok
0.03,1,2111.077253059147,358.3460640266905,True,7.37768e-05,ok
0.03,2,2309.3906006059883,256.1169746619349,True,2.50601e-05,ok
0.03,3,2700.0899605863474,194.53500179306747,True,1.83576e-06,ok
0.03,4,3309.6200277203025,137.83799837734813,True,1.74705e-06,ok
0.03,5,3823.67,96.6115,True,5.34018e-09,ok
0.03,6,4397.08,76.2863,True,6.61248e-12,ok
0.03,7,5198.05,64.7582,True,2.25518e-13,ok
0.03,8,6268.92,56.9089,True,1.12362e-13,ok
0.03,9,7636.3,50.9988,True,2.43637e-13,ok
0.03,10,9329.19,46.2938,True,1.71015e-13,ok
0.03,11,11380.4,42.4199,True,1.37348e-13,ok
0.03,12,13826.0,39.1582,True,4.78793e-14,ok
0.03,13,16705.0,36.3674,True,2.98262e-13,ok
0.03,14,20058.8,33.9496,True,1.39958e-13,ok
0.03,15,23931.2,31.8338,True,4.92228e-14,ok
0.05,1,1636.2299996033016,-148.82200001578408,True,1.88374e-08,ok
0.05,2,1652.9900092855057,222.0099992487377,True,6.83129e-07,ok
0.05,3,1753.7799976784877,174.94600023215122,True,1.2636e-07,ok
0.05,4,2054.4699977720657,122.77300022279341,True,2.60802e-07,ok
0.05,5,2310.06,88.799,True,1.55769e-09,ok
0.05,6,2642.27,72.1492,True,4.38863e-12,ok
0.05,7,3120.36,62.1022,True,3.34514e-13,ok
0.05,8,3762.14,54.973,True,1.15333e-13,ok
0.05,9,4582.28,49.4724,True,5.94407e-14,ok
0.05,10,5597.86,45.0276,True,7.73766e-14,ok
0.05,11,6828.49,41.3327,True,1.77816e-13,ok
0.05,12,8295.79,38.2018,True,1.16454e-13,ok
0.05,13,10023.2,35.5109,True,1.40002e-13,ok
0.05,14,12035.4,33.1723,True,2.0616e-13,ok
0.05,15,14358.8,31.1208,True,2.15051e-13,ok
0.07,1,1637.7300375522204,194.57999772861416,True,2.91317e-06,ok
0.07,2,1351.0200626260005,190.24299373739996,True,6.04488e-06,ok
0.07,3,1357.58,154.224,True,2.90905e-09,ok
0.07,4,1509.7600004329443,108.30999993325442,True,8.4221e-08,ok
0.07,5,1658.99,81.9458,True,2.86795e-11,ok
0.07,6,1889.99,68.4207,True,8.44576e-13,ok
0.07,7,2230.01,59.6534,True,3.08653e-13,ok
0.07,8,2687.92,53.1642,True,1.66705e-13,ok
0.07,9,3273.51,48.0346,True,1.76113e-13,ok
0.07,10,3998.81,43.8288,True,1.66617e-13,ok
0.07,11,4877.75,40.2999,True,1.12693e-14,ok
