Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.1,1,4779.579982580389,-2720.82,True,6.87427e-06,ok
0.1,2,3210.579585333988,-3979.2298994371313,True,0.000330398,ok
0.1,3,2570.38753788336,-4933.84753788336,True,0.0044877,ok
0.1,4,2205.902210683175,-5725.960897088825,True,0.00334076,ok
0.1,5,1972.5786677989379,-6422.328667798938,True,0.00249669,ok
0.1,6,1810.7866833547548,-7043.98828305936,True,0.00751627,ok
0.1,7,1691.9235448948632,-7607.631985141124,True,0.00925646,ok
0.1,8,1601.6144413303298,-8125.75,True,0.0118691,ok
0.1,9,1531.6549172469772,-8606.725413765114,True,0.00679714,ok
0.1,10,1476.8480059019641,-9056.151994098036,True,0.00907114,ok
0.1,11,1434.3293874279607,-9477.957824625015,True,167.194,ok
0.1,12,1399.9347723227154,-9875.623322984697,True,39.5572,ok
0.1,13,1373.3108807823787,-10250.708807823788,True,0.00886372,ok
0.1,14,1353.267772953381,-10605.415320959064,True,2.84057,ok
0.1,15,1338.649049140036,-10941.195606475441,True,0.0356385,ok
0.1,16,1328.8552186125098,-11260.659234636729,True,3.15373,ok
0.1,17,1323.2777756107507,-11563.988975569971,True,0.0499663,ok
0.1,18,1321.4664623516987,-11854.37634376779,True,2.03933,ok
0.1,19,1322.7930492445882,-12131.930492445881,True,0.104082,ok
0.1,20,1326.886626986366,-12397.692131820571,True,2.43817,ok
0.1,21,1333.3709015383542,-12651.318030767085,True,0.0175906,ok
0.1,22,1341.9925402302044,-12891.945925743343,True,3.80639,ok
0.1,23,1352.9365028938919,-13120.5,True,0.0401244,ok
0.1,24,1366.0021459326176,-13335.94428790411,True,2.60853,ok
0.1,25,1381.307401558062,-13539.232377258306,True,1.09732,ok
0.1,30,1488.6510027723991,-14404.524254910411,True,247.083,ok
0.1,35,1635.7485401527997,-15038.114598472004,True,0.0111027,ok
0.1,40,1824.8046012626826,-15442.414953671927,True,0.0918838,ok
0.1,45,2051.7923536037288,-15653.0,True,0.0126839,ok
0.1,50,2318.3829255143114,-15673.8,True,0.0483541,ok
0.1,55,2626.958251283694,-15531.05246148917,True,0.0291454,ok
0.1,60,2978.9984107644395,-15237.015892355605,True,0.0781111,ok
0.1,65,3378.9897987571135,-14794.000370124322,True,0.000880188,ok
0.1,70,3832.3513647413142,-14200.6973332641,True,0.00552293,ok
0.1,75,4344.960663932652,-13446.298518497386,True,0.00249185,ok
0.1,80,4924.190073678317,-12503.699827174318,True,0.000255244,ok
0.1,85,5579.349893355396,-11325.200268184228,True,0.000338673,ok
0.1,90,6322.400000143977,-9825.359999581086,True,4.18745e-07,ok
0.1,95,7170.32987239689,-7830.3304429398295,True,0.000335908,ok
0.1,100,8151.34999998536,-4884.630000063442,True,3.16995e-08,ok
0.1,105,9237.407621267694,555.730785437558,True,0.683605,ok
0.1,110,9775.640842634826,4314.600537523702,True,21.9309,ok
0.1,115,10180.901777315015,5187.883236584188,True,0.0250915,ok
0.1,120,10637.398733178847,5476.299118571531,True,0.0154606,ok
0.3,1,2942.899975285764,-1397.4699917619214,True,8.45092e-06,ok
0.3,2,2061.060116387366,-2143.2700578108297,True,9.30924e-05,ok
0.3,3,1664.090502483626,-2708.85031607841,True,0.000620889,ok
0.3,4,1432.4852237262428,-3180.16,True,0.000956018,ok
0.3,5,1278.940208309569,-3590.7701732012147,True,0.000434488,ok
0.3,6,1169.1603053636206,-3957.8902737742806,True,0.000760165,ok
0.3,7,1086.7288912791541,-4291.768947040471,True,0.00323084,ok
0.3,8,1022.719279223306,-4599.089282018562,True,0.00237629,ok
0.3,9,971.7935815612825,-4884.489576177674,True,0.00155144,ok
0.3,10,930.5675455273208,-5151.338508486421,True,0.00593821,ok
0.3,11,896.7825871176327,-5402.195871176326,True,0.00455273,ok
0.3,12,868.8534428524199,-5639.047785737901,True,0.000654406,ok
0.3,13,845.6467077854926,-5863.440732729475,True,0.00319751,ok
0.3,14,826.3219658892837,-6076.658963625108,True,0.00181057,ok
0.3,15,810.2489948938979,-6279.77,True,2.39493e-05,ok
0.3,16,796.9322416371948,-6473.600230777097,True,0.00142216,ok
0.3,17,785.9918035706559,-6658.870760134404,True,0.00310254,ok
0.3,18,777.1191987138584,-6836.25,True,0.0091868,ok
0.3,19,770.0720103337089,-7006.200007785671,True,6.80198e-05,ok
0.3,20,764.6497143770894,-7169.120588310544,True,0.00489162,ok
0.3,21,760.6866362553998,-7325.5936374460025,True,0.00384641,ok
0.3,22,758.0508709090296,-7475.759934954608,True,0.000939647,ok
0.3,23,756.6279328401729,-7619.959973331505,True,0.000507696,ok
0.3,24,756.3241991733296,-7758.46006248575,True,0.00150656,ok
0.3,25,757.059972954096,-7891.449993491902,True,0.000209116,ok
0.3,30,774.3121436831458,-8479.729963470387,True,0.00118605,ok
0.3,35,810.8678217695342,-8949.940138225722,True,0.00153697,ok
0.3,40,864.3709984371421,-9308.84000202538,True,1.35277e-05,ok
0.3,45,934.0214902380446,-9557.73,True,0.00703195,ok
0.3,50,1019.8912063202833,-9694.197292481142,True,0.01021,ok
0.3,55,1122.559769400086,-9712.950628364348,True,0.00189249,ok
0.3,60,1242.9898170720085,-9605.910569701098,True,0.00146731,ok
0.3,65,1382.3499929559355,-9361.680024981652,True,5.40632e-05,ok
0.3,70,1541.949999542077,-8964.430001829061,True,3.3586e-06,ok
0.3,75,1723.0931712838326,-8391.815769880239,True,0.0226202,ok
0.3,80,1926.8303712170061,-7611.988110167968,True,0.00252471,ok
0.3,85,2153.290060897119,-6578.229622898381,True,0.00040602,ok
0.3,90,2399.7000001009997,-5225.909999292068,True,6.76549e-07,ok
0.3,95,2654.18,-3500.59,True,1.36845e-10,ok
0.3,100,2885.02,-1551.49,True,1.70785e-09,ok
0.3,105,3066.6499999969355,115.4359999700193,True,4.12178e-08,ok
0.3,110,3220.4,1272.99,True,1.3757e-10,ok
0.3,115,3372.39,2046.87,True,4.66281e-10,ok
0.3,120,3535.31,2573.0,True,5.23976e-11,ok
0.5,1,2213.829545137827,-970.3528180551308,True,0.000110013,ok
0.5,2,1629.2301495000331,-1538.5301051428803,True,0.000100343,ok
0.5,3,1340.5599155694422,-1972.3098874259229,True,0.00010672,ok
0.5,4,1165.1500877013298,-2334.0000996397303,True,0.000137567,ok
0.5,5,1045.9499805108278,-2648.7699610216555,True,4.94613e-05,ok
0.5,6,959.2403560471695,-2929.7005214079886,True,0.000874971,ok
0.5,7,893.2157884472222,-3184.659665075563,True,0.000621773,ok
0.5,8,841.3094713456303,-3418.789108502565,True,0.00161544,ok
0.5,9,799.5403261408284,-3635.6888034602944,True,0.00258814,ok
0.5,10,765.3430399992956,-3837.9800733688735,True,0.00016624,ok
0.5,11,736.9808942726439,-4027.669788545288,True,0.000523911,ok
0.5,12,713.2347640589054,-4206.309410147264,True,0.001182,ok
0.5,13,693.2209714024738,-4375.12,True,0.000155978,ok
