Ek_folder,Ek,Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
Ek1e-7,1e-07,0.1,1,14327.52463247154,-8677.406606940413,True,166.928,ok
Ek1e-7,1e-07,0.1,3,,,False,488.257,no_onset_in_range
Ek1e-7,1e-07,0.1,10,4046.605481074,-29295.0,True,0.171134,ok
Ek1e-7,1e-07,0.1,15,3374.156033705297,-35872.897213390715,True,0.814078,ok
Ek1e-7,1e-07,0.1,90,3830.966491624749,-75005.29334130112,True,8.24839,ok
Ek1e-7,1e-07,0.1,95,4028.7486303628666,-75334.23668630737,True,20.5045,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,1,8238.902433968415,-4861.57038751006,True,0.00096063,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,2,5523.290709042623,-7112.32,True,0.000185531,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,3,4399.955365965722,-8823.375365965721,True,0.00520428,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,4,3761.617751991176,-10256.2075540388,True,0.0276655,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,5,,,False,883.53,no_onset_in_range
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,6,3046.7744364730697,-12635.5,True,0.0332137,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,7,2823.8700484250635,-13666.8,True,0.000791515,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,8,2650.9182690884672,-14620.217309115327,True,0.00970286,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,9,2512.819907289003,-15509.0,True,0.00101337,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,10,,,False,,missing_log
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,11,2307.19058012172,-17132.176795131203,True,0.00525913,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,12,2229.514863113336,-17880.24041793351,True,0.316673,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,13,2164.148652389422,-18592.172018805555,True,0.148005,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,14,2108.936426154394,-19272.53917694773,True,0.123939,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,15,2062.0912091979408,-19924.587908020592,True,0.047306,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,16,2022.247772691788,-20549.207424360706,True,0.0284154,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,17,1988.5836288591504,-21150.385596358075,True,0.028378,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,18,1960.190937055752,-21725.612588849675,True,0.10142,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,19,1936.2038318909288,-22284.737988074896,True,0.677773,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,20,1916.328134330668,-22821.3723880762,True,1.02973,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,21,1900.0736598378387,-23340.941495945965,True,0.476932,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,22,1887.411344552807,-23841.06197520218,True,0.181321,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,23,1877.629716939136,-24325.557540870377,True,0.0379992,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,24,1870.491891840836,-24793.302713424397,True,0.172733,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,25,1865.8677127346432,-25246.761436326786,True,0.804412,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,60,2629.021061947816,-34115.65154479327,True,0.925686,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,65,2849.253818151242,-34484.70177812696,True,0.446011,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,70,3094.9812098285,-34662.936720647966,True,8.56231,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,75,3367.3492202742145,-34673.448044204626,True,0.568812,ok
