Ek_folder,Ek,Pr_folder,Pr,Ra_folder,Ra,fd,fd_stderr,m_star,drift_path
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra468_8784,468.8784,-4.828023872484332,1.7641252075968858e-11,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra468_8784/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra612_7915,612.7915,-2.9010012404709355,4.222632318756041e-11,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra612_7915/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra756_7047,756.7047,-0.31386384193404454,4.4758199177314284e-11,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra756_7047/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra773_9653,773.9653,-0.015103176514478702,1.9243714295822497e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra773_9653/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra774_6593,774.6593,-0.003155345958307363,2.0458053513177275e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra774_6593/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra774_7986,774.7986,-0.0007577955188245527,2.071122801906833e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra774_7986/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra774_8317,774.8317,-0.0001881283181219619,2.077197295931296e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra774_8317/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra774_8399,774.8399,-4.7004128139965645e-05,2.0786979679692034e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra774_8399/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra774_8481,774.8481,9.411933770760701e-05,2.080205792202574e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra774_8481/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra774_8642,774.8642,0.00037120110875725004,2.0831620082380237e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra774_8642/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra774_9274,774.9274,0.0014588491400564663,2.09482284323681e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra774_9274/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra775_1579,775.1579,0.005425301830618718,2.1379579888609497e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra775_1579/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra775_8258,775.8258,0.016915309285838946,2.2682171167868082e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra775_8258/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra900_6178,900.6178,2.048402202480221,1.4631632186623592e-07,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra900_6178/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.1,0.1,Ra1044_5310,1044.531,0.09940599540127272,0.018329722120303767,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.1/Ra1044_5310/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra273_3605,273.3605,-3.6195983565672094,3.985230370471161e-09,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra273_3605/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra357_2632,357.2632,-2.277038781520905,7.323347653089551e-14,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra357_2632/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra441_1660,441.166,-0.7773114652579192,3.407790918994009e-15,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra441_1660/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra486_8734,486.8734,-0.020649480643856088,8.082106567662211e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra486_8734/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra487_8956,487.8956,-0.004348887983827283,9.623216015509003e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra487_8956/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra488_1029,488.1029,-0.0010467112162329303,4.414092097001497e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra488_1029/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra488_1523,488.1523,-0.00025997285185467634,4.863971016836368e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra488_1523/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra488_1646,488.1646,-6.40951449218407e-05,3.820549676171047e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra488_1646/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra488_1767,488.1767,0.00012859343812067725,8.479982861500712e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra488_1767/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra488_2009,488.2009,0.0005139583442031345,1.065617797336499e-15,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra488_2009/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra488_2956,488.2956,0.002021820030413199,6.233311733218822e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra488_2956/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra488_6428,488.6428,0.007547972305655911,5.575599862036165e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra488_6428/movie/movie_test/drift.json
Ek6.7e-4,0.00067,Pr0.2,0.2,Ra489_6568,489.6568,0.023667818967930795,9.197340431569021e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek6.7e-4/Pr0.2/Ra489_6568/movie/movie_test/drift.json
