Ek_folder,Ek,Pr,m_star,Ra0,Ra_c,Ra0_over_Rac,supercriticality,method,bracket_lo,bracket_hi
Ek6.7e-4,0.00067,0.1,3,774.8399,464.236,1.6690646567694016,0.6690646567694016,near_fd,,
Ek6.7e-4,0.00067,0.2,3,488.168624894684,270.654,1.803663071281725,0.803663071281725,sign_interp,488.1646,488.1767
Ek6.7e-4,0.00067,0.3,3,373.9703,201.085,1.8597622895790338,0.8597622895790337,near_fd,,
Ek6.7e-4,0.00067,0.4,3,306.1557,162.719,1.8814993946619636,0.8814993946619635,near_fd,,
Ek6.7e-4,0.00067,0.5,3,259.7567,137.514,1.8889473071832688,0.8889473071832686,near_fd,,
Ek6.7e-4,0.00067,0.6,3,225.7009,119.38,1.8906089797285976,0.8906089797285978,near_fd,,
Ek6.7e-4,0.00067,0.8,3,178.8739,94.7189,1.8884710443216717,0.8884710443216717,near_fd,,
Ek6.7e-4,0.00067,1.0,3,148.1773,78.5935,1.885363293402126,0.885363293402126,near_fd,,
Ek6.7e-4,0.00067,2.0,3,79.8834,42.1571,1.894897893830458,0.8948978938304578,near_fd,,
Ek6.7e-4,0.00067,3.0,3,54.6251,28.7303,1.9013062863945036,0.9013062863945035,near_fd,,
Ek6.7e-4,0.00067,3.0,3,54.636,28.7303,1.901685676794186,0.9016856767941861,near_fd,,
Ek6.7e-4,0.00067,4.0,3,41.4977,21.7895,1.904481516326671,0.9044815163266712,near_fd,,
Ek6.7e-4,0.00067,5.0,3,33.9739,17.5494,1.9359009424823643,0.9359009424823642,near_fd,,
Ek6.7e-4,0.00067,5.0,3,33.9795,17.5494,1.936220041710828,0.936220041710828,near_fd,,
Ek6.7e-4,0.00067,8.0,3,19.87,11.0803,1.7932727453227804,0.7932727453227802,near_fd,,
Ek6.7e-4,0.00067,8.0,3,19.8778,11.0803,1.79397669738184,0.79397669738184,near_fd,,
Ek6.7e-4,0.00067,10.0,3,15.3864,8.89435,1.729907188271206,0.729907188271206,near_fd,,
Ek6.7e-4,0.00067,20.0,3,8.0518,4.47753,1.7982682416421556,0.7982682416421555,near_fd,,
Ek6.7e-4,0.00067,40.0,3,4.788767040792842,2.24641,2.1317422201614318,1.1317422201614318,sign_interp,4.7572,4.8428
